Case,N_mcn_A,N_mcn_B,N_mcn_AB,N_dd_pval,N_aspl,N_enum,Na_mcn_A,Na_mcn_B,Na_mcn_AB,Na_dd_pval,Na_aspl,Na_enum
68,13,37,83,0.07225196500155302,7.276967670011148,299,3,37,82,0.07671859647953112,6.697569676700112,299
69,4,12,22,0.08531648098086178,5.155629877369008,299,3,12,22,0.09161111653899129,5.150301003344482,299
70,6,25,40,0.04629308312842597,5.795562987736901,299,3,27,40,0.04967448736208418,5.761694537346711,299
71,5,36,53,0.2242370836507792,5.886243032329989,299,3,36,53,0.06456643117566169,5.874827201783724,299
72,26,13,97,0.24847777644575098,5.3589966555183945,299,3,13,61,0.17808703837104345,5.805395763656633,299
73,5,21,49,0.13497730198591248,5.312396878483835,299,3,21,49,0.020273103418701102,5.300089186176143,299
74,4,57,95,0.046492801037664316,5.770702341137124,299,3,57,95,0.05277629079850208,5.766421404682275,299
75,4,29,47,0.06536549081582851,5.306845039018952,299,2,29,47,0.06129985628436586,5.294626532887403,299
76,9,63,118,0.021419122147799518,5.609966555183947,299,3,63,116,0.025995294753585144,5.596633221850613,299
77,7,83,110,0.3065254246261411,5.437146042363434,299,3,82,107,0.31636468572418175,5.465574136008919,299
78,19,14,83,0.4529269496471753,6.0434336677814935,299,3,25,83,0.40328265609525926,6.299108138238573,299
79,4,84,101,0.15818448293266907,5.517257525083612,299,3,84,99,0.17858586478226124,5.530011148272018,299
80,12,102,123,0.2328871625330472,5.1464882943143815,299,3,94,113,0.25582056437126277,5.212396878483835,299
81,2,11,12,0.08312335970152053,5.314113712374582,299,2,11,12,0.08312335970152053,5.314113712374582,299
82,4,64,91,0.05571991010012398,5.232084726867336,299,3,64,85,0.05370797881717172,5.274648829431438,299
83,10,25,33,0.18357287042720993,5.786755852842809,299,3,23,26,0.1956554884613656,5.917926421404682,299
84,15,20,47,0.17532505052800595,5.621382385730212,299,3,17,20,0.1780040328247,5.375050167224081,299
85,7,23,40,0.06270669950753174,6.402408026755853,299,3,23,40,0.2530870046396485,6.262920847268673,299
86,10,26,67,0.08296180402232481,6.253288740245262,299,3,26,42,0.09307097938242048,6.372107023411371,299
87,6,39,95,0.0280066020918544,6.040423634336678,299,3,39,89,0.014754330314809291,6.063545150501672,299
88,3,24,29,0.11344708218824763,5.638283166109253,299,3,24,29,0.11344708218824763,5.638283166109253,299
89,7,14,28,0.2576105727017034,5.235518394648829,299,3,14,24,0.29791731504121455,5.267736900780379,299
90,9,13,53,0.24605605986500345,6.006265328874025,299,3,17,36,0.3000407369586825,6.200602006688963,299
91,6,58,96,0.5526599053026077,6.457770345596432,299,3,57,93,0.5117858068864151,6.4912151616499445,299
92,4,30,76,0.09886415830502684,6.339197324414716,299,3,30,76,0.1208048542956373,6.334091415830546,299
93,6,8,11,0.12000781126649136,5.2903232998885175,299,3,8,11,0.12630423322900192,5.2731326644370125,299
94,9,72,122,0.022862618856058232,5.6119955406911926,299,3,74,121,0.1705494812856041,5.383634336677815,299
95,4,59,74,0.13525273917184266,5.470769230769231,299,3,59,74,0.1375021408485035,5.464548494983277,299
96,4,16,21,0.015959245621468457,5.453333333333333,299,3,16,21,0.019857404320747667,5.440401337792642,299
97,5,44,73,0.13392018314549803,5.333377926421405,299,3,44,73,0.17303375200004523,5.3075139353400225,299
98,19,7,67,0.249854319337507,4.954425863991081,299,3,7,47,0.12685545832121845,5.07371237458194,299
99,7,39,84,0.04143020908726572,5.601672240802675,299,3,39,82,0.04365561175980383,5.666867335562988,299
100,11,75,106,0.12372347867470844,5.463344481605351,299,3,75,102,0.10193720577602786,5.624949832775919,299
