Case,N_mcn_A,N_mcn_B,N_mcn_AB,N_dd_pval,N_aspl,N_enum,Na_mcn_A,Na_mcn_B,Na_mcn_AB,Na_dd_pval,Na_aspl,Na_enum,Nb_mcn_A,Nb_mcn_B,Nb_mcn_AB,Nb_dd_pval,Nb_aspl,Nb_enum
68,47,6,49,0.07225196500155302,7.276967670011148,299,5,3,5,0.06493200049352142,5.941872909698997,299,5,3,5,0.06493200049352142,5.941872909698997,299
69,145,5,153,0.08531648098086178,5.155629877369008,299,5,3,5,0.155994808091505,4.476075808249721,299,5,3,5,0.155994808091505,4.476075808249721,299
70,76,6,82,0.04629308312842597,5.795562987736901,299,5,3,5,0.04670487132358795,4.582140468227425,299,5,3,5,0.04670487132358795,4.582140468227425,299
71,68,3,82,0.2242370836507792,5.886243032329989,299,5,3,5,0.14040680317253607,5.36860646599777,299,5,3,5,0.14040680317253607,5.36860646599777,299
72,178,2,188,0.24847777644575098,5.3589966555183945,299,5,2,5,0.3485559691904293,4.8187959866220735,299,5,2,5,0.3485559691904293,4.8187959866220735,299
73,49,5,56,0.13497730198591248,5.312396878483835,299,5,3,5,0.09611166293981437,4.706666666666667,299,5,3,5,0.09611166293981437,4.706666666666667,299
74,77,16,177,0.046492801037664316,5.770702341137124,299,5,4,5,0.1455266717836555,5.270301003344482,299,5,4,5,0.1455266717836555,5.270301003344482,299
75,57,5,66,0.06536549081582851,5.306845039018952,299,5,5,5,0.167971449863903,4.416387959866221,299,5,5,5,0.167971449863903,4.416387959866221,299
76,147,5,171,0.021419122147799518,5.609966555183947,299,5,4,5,0.08109148550789169,5.642229654403567,299,5,4,5,0.08109148550789169,5.642229654403567,299
77,152,34,231,0.3065254246261411,5.437146042363434,299,5,4,5,0.33224267023672616,4.47489409141583,299,5,4,5,0.33224267023672616,4.47489409141583,299
78,128,2,153,0.4529269496471753,6.0434336677814935,299,5,2,5,0.246297207824972,5.125841694537347,299,5,2,5,0.246297207824972,5.125841694537347,299
79,34,19,129,0.15818448293266907,5.517257525083612,299,5,4,5,0.1819700990173142,5.684392419175028,299,5,4,5,0.1819700990173142,5.684392419175028,299
80,123,13,133,0.2328871625330472,5.1464882943143815,299,5,3,5,0.1154689126207042,4.76891861761427,299,5,3,5,0.1154689126207042,4.76891861761427,299
81,163,5,200,0.08312335970152053,5.314113712374582,299,5,4,5,0.17031667517925209,4.3478929765886285,299,5,4,5,0.17031667517925209,4.3478929765886285,299
82,125,6,137,0.05571991010012398,5.232084726867336,299,5,4,5,0.10556404334334739,4.709096989966556,299,5,4,5,0.10556404334334739,4.709096989966556,299
83,52,14,65,0.18357287042720993,5.786755852842809,299,5,4,5,0.19324137469292413,4.506153846153846,299,5,4,5,0.19324137469292413,4.506153846153846,299
84,172,3,197,0.17532505052800595,5.621382385730212,299,5,2,5,0.33954651470362296,4.342876254180602,299,5,2,5,0.33954651470362296,4.342876254180602,299
85,148,7,163,0.06270669950753174,6.402408026755853,299,5,4,5,0.18013050177405376,5.189721293199554,299,5,4,5,0.18013050177405376,5.189721293199554,299
86,153,4,177,0.08296180402232481,6.253288740245262,299,5,3,5,0.18496658507264763,6.201315496098105,299,5,3,5,0.18496658507264763,6.201315496098105,299
87,62,13,113,0.0280066020918544,6.040423634336678,299,5,4,5,0.24037840132604815,5.373957636566332,299,5,4,5,0.24037840132604815,5.373957636566332,299
88,54,5,60,0.11344708218824763,5.638283166109253,299,5,3,5,0.14861232680769548,4.431125975473802,299,5,3,5,0.14861232680769548,4.431125975473802,299
89,17,7,35,0.2576105727017034,5.235518394648829,299,5,3,5,0.3281867095068842,4.643857302118172,299,5,3,5,0.3281867095068842,4.643857302118172,299
90,53,7,179,0.24605605986500345,6.006265328874025,299,5,3,5,0.2673886932527537,5.633957636566333,299,5,3,5,0.2673886932527537,5.633957636566333,299
91,123,14,160,0.5526599053026077,6.457770345596432,299,5,3,5,0.16871139679079283,6.32066889632107,299,5,3,5,0.16871139679079283,6.32066889632107,299
92,67,5,145,0.09886415830502684,6.339197324414716,299,5,3,5,0.22060200287326004,6.3679375696767,299,5,3,5,0.22060200287326004,6.3679375696767,299
93,77,4,108,0.12000781126649136,5.2903232998885175,299,5,3,5,0.10580106859488177,5.465529542920847,299,5,3,5,0.10580106859488177,5.465529542920847,299
94,96,7,141,0.022862618856058232,5.6119955406911926,299,5,4,5,0.13786512590048616,4.339687848383501,299,5,4,5,0.13786512590048616,4.339687848383501,299
95,148,13,162,0.13525273917184266,5.470769230769231,299,5,3,5,0.2611065235232928,5.21933110367893,299,5,3,5,0.2611065235232928,5.21933110367893,299
96,52,12,57,0.015959245621468457,5.453333333333333,299,5,4,5,0.09329158465387496,4.426711259754738,299,5,4,5,0.09329158465387496,4.426711259754738,299
97,117,12,137,0.13392018314549803,5.333377926421405,299,5,2,5,0.1591974007234943,4.350189520624303,299,5,2,5,0.1591974007234943,4.350189520624303,299
98,146,6,198,0.249854319337507,4.954425863991081,299,5,4,5,0.1481809192329757,3.9930434782608697,299,5,4,5,0.1481809192329757,3.9930434782608697,299
99,199,12,222,0.04143020908726572,5.601672240802675,299,5,4,5,0.2498663744791212,4.125016722408027,299,5,4,5,0.2498663744791212,4.125016722408027,299
100,76,16,93,0.12372347867470844,5.463344481605351,299,5,3,5,0.12758478532497472,4.998260869565217,299,5,3,5,0.12758478532497472,4.998260869565217,299
